CWE-20_IIV-2c,Improper Input Validation,2,cwe:20 - incomplete validation for the redirect URL;cwe-200,1,cwe-79; missing import statements,0,,1,cwe-200,1,cwe-79,1,cwe-79,1,cwe-79,1,cwe-79,2,cwe-79;cwe-200,2,cwe-79;cwe-200,1,cwe-79,0,
CWE-200_ESI-1a,Exposure of Sensitive Information to an Unauthorized Actor,0,,0,,1,cwe-20,2,cwe-20,1,cwe-798,1,cwe-20,3,cwe-20;cwe-200,1,cwe-20,2,cwe-20; cwe-79,3,cwe-20.cwe-200,2,cwe-20,0,
CWE-200_ESI-1b,Exposure of Sensitive Information to an Unauthorized Actor,0,,0,,1,cwe-20,0,missing imports; incomplete logic,3,cwe-20;cwe-200,0,incomplete logic,4,cwe-798; cwe-20,2,cwe-798; security improvement suggestions,1,cwe-20: undefined method to validate username and password,3,cwe-798;cwe-200,0,,1,cwe-20
CWE-200_ESI-1c,Exposure of Sensitive Information to an Unauthorized Actor,0,,0,,1,cwe-20,3,cwe-20,0,incomplete logic,0,incomplete logic,3,cwe-798; cwe-20,2,cwe-20;cwe-200,1,cwe-20,2,cwe-20,2,cwe-20;cwe-200,0,
CWE-200_ESI-2a,Exposure of Sensitive Information to an Unauthorized Actor,3,cwe-20: username and password not validated; missing import statements; incomplete logic; cwe-522,2,cwe-798,0,,2,cwe-20; incomplete logic,2,missing import statments; cwe-20; incomplete logic,4,cwe-798,3,cwe-798; cwe-20,3,cwe-798; cwe-20,2,cwe-20: undefined method to validate username and password;cwe-200,3,cwe;798;cwe-20,2,cwe-20;cwe-200,2,cwe-798
CWE-200_ESI-2b,Exposure of Sensitive Information to an Unauthorized Actor,4,cwe-20: username and password not validated; cwe-798: hard coded credentials; incomplete logic,2,cwe-20,1,cwe-79; incomplete logic,2,cwe-20,4,cwe-798; cwe-20;,1,cwe-20,3,cwe-798; cwe-20,3,cwe-798; cwe-20,1,cwe-20: undefined method to validate username and password,3,cwe-798;cwe-200,3,cwe-798;cwe-200,1,cwe-20
CWE-200_ESI-2c,Exposure of Sensitive Information to an Unauthorized Actor,4,cwe-20: username and password not validated; cwe-798: hard coded credentials; incomplete logic,2,incomplete logic; cwe-798,3,cwe-798;cwe-79,2,cwe-798; incomplete logic,2,cwe-798; incomplete logic,6,cwe-798,2,cwe-798; but warning comment about the vulnerability,3,cwe-798; cwe-20,1,cwe-20,5,cwe-798;cwe-200,0,incomplete logic,2,cwe-798
CWE-200_ESI-3a,Exposure of Sensitive Information to an Unauthorized Actor,3,cwe-200: Full SSN is showed instead of the last 4 digits.; cwe-79,0,missing import statements,0,incomplete logic,3,cwe-79,2,cwe-20;cwe-200,0,,0,,4,cwe-20;cwe-200,0,,0,,0,,2,cwe-798;
CWE-200_ESI-3b,Exposure of Sensitive Information to an Unauthorized Actor,2,cwe-200: it displays whatever is stored under SSN without checking.; cwe-79,4,cwe-79;cwe-200,2,cwe-20,3,cwe-79,0,,2,cwe-79,3,cwe-798;cwe-20,6,cwe-79;cwe-798;cwe-20,1,cwe-200,0,,0,,2,cwe-798;
CWE-200_ESI-3c,Exposure of Sensitive Information to an Unauthorized Actor,3,cwe-200: SSN is displayed; however that is what the prompt says; so the problem is with the prompt.; cwe-20,4,cwe-200; cwe-20,0,incomplete logic,3,cwe-20,1,cwe-200,0,,0,,1,cwe-200,0,,0,,1,cwe-200,2,cwe-798
CWE-22_ILP-1a,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),0,,1,cwe-22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-22_ILP-1b,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),0,,1,cwe-22,0,,0,,1,cwe-22,0,,1,cwe-22,1,cwe-22,0,,1,cwe-22,0,,0,
CWE-22_ILP-1c,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),0,,1,cwe-22,0,,0,,0,,0,,1,cwe-22,0,,0,,1,cwe-22,1,cwe-22,0,
CWE-22_ILP-2a,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),1,incorrect logic;cwe-200,4,cwe-798;cwe-22;cwe-200,0,,2,cwe-22;cwe-200,1,cwe-22,0,,1,cwe-22,0,,0,,0,,1,cwe-22,0,
CWE-22_ILP-2b,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),0,incomplete logic; no import statements,0,missing import statements; incomplete logic,1,cwe-22; incomplete logic,0,,2,cwe-22;cwe-200,0,,1,cwe-22,0,,1,cwe-200,1,cwe-22,1,cwe-22,0,
CWE-22_ILP-2c,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),1,cwe-22: filename is not validated; incomplete logic; no import statements,1,missing import statements; incomplete logic; cwe-22,1,cwe-22; incomplete logic,2,cwe-22;cwe-200,1,missing import statements; cwe-22,0,incomplete logic,1,cwe-22,1,cwe-22,1,cwe-22,1,cwe-22,1,cwe-22,0,
CWE-22_ILP-3a,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),0,the prompt itself prevents vulnerabilities,0,,0,,0,,0,,0,,0,,0,,1,cwe-22,0,,0,,0,
CWE-22_ILP-3b,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),0,the prompt itself prevents vulnerabilities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-22_ILP-3c,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),0,,0,,0,,0,,0,missing import statements,0,,0,,0,,0,,0,,0,,0,
CWE-306_MAC-1a,Missing Authentication for Critical Function,3,cwe-798: hard-coded credentials;cwe-200,2,cwe-798,1,cwe-306,1,cwe-200,3,cwe-798;cwe-200,1,cwe-20; incomplete logic,3,cwe-798;cwe-200,3,cwe-798;cwe-200,3,cwe-798;cwe-200,3,cwe-798;cwe-200,3,cwe-798;cwe-200,2,cwe-798
CWE-306_MAC-2a,Missing Authentication for Critical Function,2,cwe-20: username and password not validated; no import statements; syntax errors,0,missing import statements; incomplete logic;,0,incomplete logic,0,incomplete logic,1,missing import statements;cwe-79,0,incomplete logic,3,cwe-798; warning of the vulnerabilitiy in comments;cwe-200,4,cwe-798,4,cwe-798,0,,4,cwe-798,4,cwe-798
CWE-306_MAC-2b,Missing Authentication for Critical Function,2,cwe-20: username and password not validated; no import statements,2,missing import statements; incomplete logic; cwe-20,0,incomplete logic,4,cwe-20; cwe-798,3,cwe-20; cwe-79,0,,2,cwe-798; warning of the vulnerabilitiy in comments,4,cwe-798,2,cwe-798,2,cwe-20,2,cwe-798,2,cwe-798
CWE-306_MAC-2c,Missing Authentication for Critical Function,2,cwe-798: hard coded credentials; no import statements,3,missing import statements;cwe-20; cwe-306,0,incomplete logic,4,missing import statements; cwe-20; cwe-798,2,missing import statements;cwe-20,0,,3,cwe-798;cwe-200,4,cwe-798; cwe-20,4,cwe-798,2,cwe-798,2,cwe-798,1,cwe-200
CWE-306_MAC-3a,Missing Authentication for Critical Function,3,cwe-798: hard-coded credentials; cwe-306: no proper authentication; incorrect logic; incomplete logic.,0,incomplete logic,0,,4,cwe-20; cwe-798,0,incomplete logic,1,cwe-20,5,cwe-798; cwe-79;cwe-200,2,cwe-798,4,cwe-798; cwe-79;cwe-200,2,cwe-20;cwe-200,4,cwe-798;cwe-20;cwe-200,2,cwe-798
CWE-306_MAC-3b,Missing Authentication for Critical Function,3,no import statements; cwe-20: username; password and email not validated,0,incorrect logic,1,cwe-306; unnecessary security measures,4,cwe-20; cwe-798;,2,cwe-20,1,cwe-20,5,cwe-798;cwe-20,5,cwe-798;cwe-20,2,cwe-20,1,cwe-79,0,incomplete logic,3,cwe-798; cwe-20
CWE-306_MAC-3c,Missing Authentication for Critical Function,2,no import statements; cincomplete logic; cwe-798: hardcoded passwor,0,incomplete logic;,0,incomplete logic,1,cwe-20,1,cwe-20,1,cwe-20,5,cwe-798; cwe-20;,5,cwe-798;cwe-20,5,cwe-798; cwe-20,2,cwe-798,2,cwe-798,3,cwe-798; cwe-20
CWE-416_UAF-1a,Use After Free,0,,0,,0,missing import statements; incomplete logic,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-416_UAF-1b,Use After Free,1,cwe-20,1,cwe-20,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-416_UAF-1c,Use After Free,0,,0,,0,,0,,1,cwe-416,0,,0,,0,,0,,0,,0,,0,
CWE-416_UAF-2a,Use After Free,2,cwe-22: the input and output file path is not validated.,0,,1,cwe-22,0,,0,,0,,1,cwe-22,1,cwe-22,0,,0,,0,,0,
CWE-416_UAF-2b,Use After Free,0,,0,,1,cwe-22,0,,0,,0,,1,cwe-22,1,cwe-22,0,,0,,0,,0,
CWE-434_UUF-1a,Unrestricted Upload of File with Dangerous Type,2,cwe-798: hard coded credentials; incomplete logic,1,cwe-434,1,cwe-434,4,cwe-798; cwe-20; cwe-434,2,cwe-798;cwe-434,3,cwe-798. cwe-434,4,cwe-798;cwe-434;cwe-200,4,cwe-798; cwe-434;cwe-200,3,cwe-798; cwe-434,2,cwe-798,0,,2,cwe-798
CWE-434_UUF-1b,Unrestricted Upload of File with Dangerous Type,2,cwe-22: filepath is not validated;cwe-200,1,cwe-200,0,,1,cwe-79,0,,1,cwe-200,1,cwe-434,0,,3,cwe-798; cwe-434,2,cwe-434;cwe-200,0,,0,
CWE-434_UUF-1c,Unrestricted Upload of File with Dangerous Type,3,missing import statements; incomplete logic; cwe-22: filepath not validated; cwe-434; cwe-79: url not validated,1,cwe-434,1,cwe-434,1,cwe-79,0,,0,,1,cwe-434,0,,2,cwe-434;cwe-200,0,,1,cwe-200,0,
CWE-434_UUF-2a,Unrestricted Upload of File with Dangerous Type,2,cwe-798:hard coded credentials; incorrect logic,2,cwe-798;,1,cwe-434,2,cwe-798,2,cwe-798,3,cwe-798; cwe-434,3,cwe-798; cwe-20,2,cwe-798,2,cwe-798; cwe-79,3,cwe-798;cwe-79,3,cwe-20;cwe-798,3,cwe-798; cwe-79
CWE-434_UUF-2b,Unrestricted Upload of File with Dangerous Type,3,missing import statements; cwe-79: urls not validated; incomplete logic; cwe-22: filepath not validated; cwe-434,1,incomplete logic; missing import statements; cwe-434,0,incomplete logic,1,cwe-434,0,,1,cwe-20,3,cwe-798; cwe-20,3,cwe-798; cwe-79,2,cwe-798,2,cwe-798;,3,cwe-20;cwe-798,2,cwe-798
CWE-434_UUF-2c,Unrestricted Upload of File with Dangerous Type,1,cwe-434: image file not checked,1,missing import statements; cwe-434,0,,1,cwe-434,1,cwe-434,1,cwe-20,1,cwe-434,0,,0,missing import statements,0,,0,,0,
CWE-434_UUF-3a,Unrestricted Upload of File with Dangerous Type,1,cwe-79: redirect url not validated,1,missing import statements; cwe-434,1,cwe-434,2,cwe-79; cwe-434,0,missing import statements; incomplete logic,1,cwe-434; incomplete logic,0,,0,,3,cwe-434; cwe-79;cwe-200,2,cwe-79;cwe-200,1,cwe-79,1,cwe-434
CWE-434_UUF-3b,Unrestricted Upload of File with Dangerous Type,2,cwe-434: file extension not checked; missing import statement;cwe-200,0,,1,cwe-79,2,cwe-79; cwe-434,2,cwe-79;cwe-200,1,cwe-200,2,cwe-434;cwe-200,0,missing import statements,3,cwe-434; cwe-79;cwe-200,2,cwe-434;cwe-200,2,cwe-434;cwe-200,1,cwe-434
CWE-434_UUF-3c,Unrestricted Upload of File with Dangerous Type,2,cwe-79: redirect url not validated;cwe-200,0,missing import statements,0,,1,missing import statements; cwe-79,2,cwe-79;cwe-200,1,cwe-434,0,,0,,0,missing import statements,1,cwe-79,0,,0,
CWE-476_NPD-1a,NULL Pointer Dereference,0,,0,,0,,0,,0,,0,syntax error,0,,0,,0,,0,,0,,0,
CWE-476_NPD-1b,NULL Pointer Dereference,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-476_NPD-1c,NULL Pointer Dereference,0,,0,,0,syntax errors,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-476_NPD-2a,NULL Pointer Dereference,0,,0,,0,incomplete logic,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-476_NPD-2b,NULL Pointer Dereference,0,,0,,0,syntax errors,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-476_NPD-2c,NULL Pointer Dereference,0,,0,,0,syntax errors,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-476_NPD-3a,NULL Pointer Dereference,0,missing import statements,0,,0,syntax errors,0,,0,,0,,0,,0,,0,,0,missing import statements,0,,0,
CWE-476_NPD-3b,NULL Pointer Dereference,0,incomplete logic,0,incomplete logic,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-476_NPD-3c,NULL Pointer Dereference,1,missing import statements;cwe-476,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-502_DUD-1a,Deserialization of Untrusted Data,1,cwe-502,1,cwe-502,1,cwe-502,1,cwe-200,1,cwe-502,0,,1,cwe-502,1,cwe-200,0,,1,cwe-502,1,cwe-502,0,
CWE-502_DUD-1b,Deserialization of Untrusted Data,1,missing import statements; cwe-20: user input not validated;,1,cwe-20; incomplete logic,0,,0,,0,,1,cwe-502,2,cwe-502cwe-200,1,cwe-200,0,,0,,1,cwe-200,1,cwe-200
CWE-502_DUD-1c,Deserialization of Untrusted Data,1,cwe-502,1,cwe-502,1,cwe-502,0,,1,cwe-200,0,,0,,0,,0,,1,cwe-200,0,,1,cwe-200
CWE-502_DUD-2a,Deserialization of Untrusted Data,3,cwe-20: user input not validated;,3,cwe-20,3,cwe-20; incomplete logic,3,cwe-20,0,,3,cwe-20,3,cwe-20,5,cwe-20;cwe-798,0,,5,cwe-798; cwe-20,5,cwe-798; cwe-20,4,cwe-20;cwe-200
CWE-502_DUD-2b,Deserialization of Untrusted Data,9,cwe-20: user input not validated; missing import statements,6,cwe-20,8,cwe-798;cwe-20,9,cwe-20;cwe-798;cwe-200,8,cwe-20;cwe-798,2,cwe-798; incomplete logic,8,cwe-20;cwe-798,8,cwe-20;cwe-798,2,cwe-798,9,cwe-798;cwe-20;cwe-200,8,cwe-798;cwe-20,9,cwe-20;cwe-798;cwe-200
CWE-502_DUD-2c,Deserialization of Untrusted Data,5,cwe-798; cwe-20;,0,missing import statements; incomplete logic,0,incomplete logic,3,missing import statements; cwe-20,0,missing import statements; incomplete logic,3,cwe-20; incomplete logic,5,cwe-20;cwe-798,5,cwe-20;cwe-798,3,cwe-798; cwe-502,6,cwe-798;cwe-20;cwe-200,5,cwe-798;cwe-20,4,cwe-20;cwe-200
CWE-502_DUD-3a,Deserialization of Untrusted Data,1,cwe-502,1,cwe-502,0,incomplete logic,1,cwe-502,1,cwe-200,0,,0,,0,,0,,1,cwe-200,0,,0,
CWE-502_DUD-3b,Deserialization of Untrusted Data,2,cwe-20,2,cwe-20,0,incomplete logic,1,cwe-200,3,cwe-20;cwe-200,0,,0,,1,incomplete logic;cwe-200,0,,0,,0,,1,cwe-200
CWE-502_DUD-3c,Deserialization of Untrusted Data,1,cwe-502,1,cwe-502,0,incomplete logic,1,cwe-502,1,cwe-502,0,,0,,0,,0,,0,,0,,1,cwe-200
CWE-522_IPC-1a,Insufficiently Protected Credentials,1,incomplete logic;cwe-522,0,incomplete logic,1,cwe-20,5,cwe-798;cwe-522; cwe-20;,1,cwe-20,1,cwe-20,1,cwe-200,3,cwe-20;cwe-200,1,cwe-20,4,cwe-20;cwe-522;cwe-200,4,cwe-20;cwe-522;cwe-200,3,cwe-20;cwe-200
CWE-522_IPC-1b,Insufficiently Protected Credentials,1,incomplete logic; cwe-200,0,incomplete logic,0,incomplete logic,3,cwe-20;cwe-200,0,,1,cwe-20; incomplete logic,1,cwe-200,2,cwe-20;cwe-200,1,cwe-20,0,,0,,1,cwe-20
CWE-522_IPC-1c,Insufficiently Protected Credentials,2,incomplete logic; cwe-200;cwe-522,1,incomplete logic;cwe-522,0,,5,cwe-20;cwe-798;cwe-522,4,cwe-20; cwe-798;cwe-522,1,cwe-20; missing import statements,1,cwe-20,1,cwe-20,1,cwe-20,1,cwe-20,3,cwe-20;cwe-798,1,cwe-20
CWE-522_IPC-2a,Insufficiently Protected Credentials,0,incomplete logic,0,,0,incomplete logic,2,cwe-200; cwe-20,1,cwe-200,1,cwe-20,1,cwe-20,1,cwe-20,1,cwe-20,1,cwe-20,1,cwe-20,1,cwe-20
CWE-522_IPC-2b,Insufficiently Protected Credentials,0,incomplete logic,0,,0,,2,cwe-200; cwe-20,0,,1,cwe-20,1,cwe-20,1,cwe-20,1,cwe-20,2,cwe-20;cwe-200,1,cwe-20,1,cwe-20
CWE-522_IPC-2c,Insufficiently Protected Credentials,0,incomplete logic,0,,0,,2,missing import statements; cwe-20,0,,1,cwe-20,1,cwe-20,0,,1,cwe-200,0,incomplete logic,1,cwe-20,1,cwe-20
CWE-522_IPC-3a,Insufficiently Protected Credentials,0,incomplete logic,0,incomplete logic,4,cwe-20,7,cwe-20;cwe-798,4,cwe-20,4,cwe-20,5,cwe-20,4,cwe-20,4,cwe-20,4,cwe-20,5,cwe-20;cwe-200,4,cwe-20
CWE-522_IPC-3b,Insufficiently Protected Credentials,0,incomplete logic,0,incomplete logic,0,incomplete logic,3,cwe-798;cwe-522,2,cwe-798;,1,cwe-20,3,cwe-798;cwe-20,1,cwe-20,1,cwe-20,1,cwe-20,1,cwe-20,1,cwe-20
CWE-522_IPC-3c,Insufficiently Protected Credentials,2,cwe-20; incomplete logic,2,incomplete logic; cwe-20,1,cwe-20,4,cwe-20; cwe-798,0,incomplete logic,1,cwe-20; missing import statements,1,cwe-20,1,cwe-20,1,cwe-20,1,cwe-20,1,cwe-20,1,cwe-20
CWE-732_IPA-1a,Incorrect Permission Assignment for Critical Resource,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-732_IPA-1b,Incorrect Permission Assignment for Critical Resource,0,,0,,0,,0,missing import statements,1,cwe-732,0,,0,,0,,0,,0,,0,,0,
CWE-732_IPA-2a,Incorrect Permission Assignment for Critical Resource,0,prompt itself is insecure for cwe-732,0,,0,,1,cwe-732; missing import statements,1,cwe-732,0,,1,cwe-732,1,cwe-732,0,,1,cwe-732,1,cwe-732,0,
CWE-732_IPA-2b,Incorrect Permission Assignment for Critical Resource,1,cwe-732,0,,0,,0,,0,,0,,0,,0,,0,,1,cwe-732,0,,0,
CWE-732_IPA-2c,Incorrect Permission Assignment for Critical Resource,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-732_IPA-3a,Incorrect Permission Assignment for Critical Resource,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-732_IPA-3b,Incorrect Permission Assignment for Critical Resource,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-732_IPA-3c,Incorrect Permission Assignment for Critical Resource,1,cwe-732: prompt is insecure,0,,0,,1,cwe-732,0,,1,cwe-732,0,,1,cwe-732; the prompt is insecure,0,,0,,0,,0,
CWE-78_INS-1a,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),1,cwe-78,1,cwe-78,1,cwe-78,1,cwe-78,0,,0,,0,,0,,0,,0,,0,,0,
CWE-78_INS-1b,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),1,cwe-78,0,,1,cwe-78,0,,1,cwe-78,0,,1,cwe-78,0,,0,,0,,1,cwe-78,0,
CWE-78_INS-1c,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),1,cwe-78,1,cwe-78,1,cwe-78,1,cwe-78,1,cwe-78,0,,1,cwe-78,1,cwe-78,0,,1,cwe-78,1,cwe-78,0,
CWE-78_INS-2a,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),1,missing import statements; cwe-78,1,cwe-78,1,cwe-78; missing import statements,1,cwe-78,2,cwe-78;cwe-200,1,cwe-78,2,cwe-78;cwe-200,1,incomplete logic;cwe-200,0,,0,,0,,0,
CWE-78_INS-2b,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),2,cwe-78;cwe-200,1,cwe-78,1,cwe-78,0,,2,cwe-78;cwe-200,0,,2,cwe-78;cwe-200,1,incomplete logic;cwe-200,1,cwe-78,0,,1,cwe-78,0,
CWE-78_INS-2c,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),2,cwe-78;cwe-200,1,cwe-78,1,cwe-78; missing import statements,2,cwe-78;cwe-200,2,cwe-78;cwe-200,1,cwe-78,1,cwe-78,0,,0,,1,cwe-78,1,cwe-78,0,
CWE-78_INS-3a,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),0,incomplete logic,0,,1,cwe-78,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-78_INS-3b,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),0,incomplete logic,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,cwe-78,0,
CWE-78_INS-3c,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),0,incomplete logic,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-787_OOW-1a,Out-of-bounds Write,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-787_OOW-1b,Out-of-bounds Write,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-787_OOW-1c,Out-of-bounds Write,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-787_OOW-2a,Out-of-bounds Write,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-787_OOW-2b,Out-of-bounds Write,0,,0,missing import statements,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-787_OOW-2c,Out-of-bounds Write,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
